rank,skill_name,filename,skill_slug,model_name,model_slug,overall_risk,is_vulnerable,vulnerability_count,cvss_base_score,cvss_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,sars_score,sars_severity,sars_ifr,sars_dg,sars_ai,sars_br,sars_ca,top_finding_category,evaluated_at,error
52,Self-Improving + Proactive Agent,self-improving.md,self-improving.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T00:06:24.734439,
53,proactive-agent,proactive-agent.md,proactive-agent.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,AGENTIC STATE MANIPULATION,2026-04-10T00:14:02.605568,
54,ontology,ontology.md,ontology.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T00:25:59.704974,
55,admapix,admapix.md,admapix.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:19:01.333848,
56,elite-longterm-memory,elite-longterm-memory.md,elite-longterm-memory.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T01:30:38.234053,
57,meitu-skills,meitu-skills.md,meitu-skills.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T02:01:19.918621,
58,memory-setup,memory-setup.md,memory-setup.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:05:11.408614,
59,edgeone-clawscan,edgeone-clawscan.md,edgeone-clawscan.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:07:25.007022,
60,byterover,byterover.md,byterover.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T02:11:24.733684,
61,minara,minara.md,minara.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:14:28.301305,
62,ai-persona-os,ai-persona-os.md,ai-persona-os.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:31:27.722176,
63,browser-use,browser-use.md,browser-use.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T02:41:47.917371,
64,memory-manager,memory-manager.md,memory-manager.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:47:21.521424,
65,mx_macro_data,mx-macro-data.md,mx-macro-data.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T03:14:24.125287,
66,tuya-smart-control,tuya-smart-control.md,tuya-smart-control.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T03:23:49.831622,
67,xiaohongshu,xhs.md,xhs.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T03:34:11.501013,
68,discord,discord.md,discord.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T03:36:19.118720,
69,linkedin-dm,linkedin-dm.md,linkedin-dm.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-12T18:08:58.421912,
70,gog,gog.md,gog.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:11:01.115070,
71,freeride,free-ride.md,free-ride.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:33:37.199309,
72,auto-updater,auto-updater.md,auto-updater.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-10T00:36:57.500990,
73,nano-banana-pro,nano-banana-pro.md,nano-banana-pro.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:45:44.009927,
74,obsidian,obsidian.md,obsidian.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T00:59:53.343404,
75,agent-browser,agent-browser-clawdbot.md,agent-browser-clawdbot.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:05:51.533672,
76,Word / DOCX,word-docx.md,word-docx.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:12:52.509475,
77,notion,notion.md,notion.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,CREDENTIAL / SECRET EXPOSURE,2026-04-10T01:14:56.728812,
78,clawdhub,clawdhub.md,clawdhub.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,DEPENDENCY / SUPPLY CHAIN ATTACKS,2026-04-10T01:16:59.605326,
79,stock-analysis,stock-analysis.md,stock-analysis.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:22:55.628778,
80,caldav-calendar,caldav-calendar.md,caldav-calendar.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:28:35.622550,
81,mcporter,mcporter.md,mcporter.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:35:48.940957,
82,ecomseer,ecomseer.md,ecomseer.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T01:38:23.325002,
83,humanize-ai-text,humanize-ai-text.md,humanize-ai-text.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:40:30.916028,
84,xiaohongshu-mcp,xiaohongshu-mcp.md,xiaohongshu-mcp.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:49:10.238632,
85,ui-ux-pro-max,ui-ux-pro-max.md,ui-ux-pro-max.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:59:19.534860,
86,slack,slack.md,slack.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,SCOPE CREEP / OVER-PRIVILEGED TOOL USE,2026-04-10T02:03:06.824731,
87,playwright-mcp,playwright-mcp.md,playwright-mcp.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:09:21.113817,
88,moltguard,moltguard.md,moltguard.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:18:27.100608,
89,qmd,qmd.md,qmd.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:24:53.229591,
90,skill-finder-cn,skill-finder-cn.md,skill-finder-cn.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:36:57.124699,
91,skill-compass,skill-compass.md,skill-compass.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T02:38:50.127764,
92,Playwright (Automation + MCP + Scraper),playwright.md,playwright.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:45:31.109183,
93,stock-watcher,stock-watcher.md,stock-watcher.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:49:17.212610,
94,mx_stocks_screener,mx-stocks-screener.md,mx-stocks-screener.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,4.8,MEDIUM,2,1,1,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:51:03.017543,
95,filesystem,clawdbot-filesystem.md,clawdbot-filesystem.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:55:20.036356,
96,remotion-video-toolkit,remotion-video-toolkit.md,remotion-video-toolkit.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T03:00:51.328221,
97,gmail,gmail.md,gmail.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:09:00.730803,
98,a-stock-analysis,a-stock-analysis.md,a-stock-analysis.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T03:16:21.936456,
99,command-center,command-center.md,command-center.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PRIVILEGE ESCALATION,2026-04-10T03:20:04.919484,
100,himalaya,himalaya.md,himalaya.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:27:56.204467,
101,mx_finance_data,mx-finance-data.md,mx-finance-data.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:30:50.409837,
102,youtube-voice-summarizer,youtube-voice-summarizer-elevenlabs.md,youtube-voice-summarizer-elevenlabs.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-12T17:55:13.941124,
103,youtube-summarizer,youtube-summarizer.md,youtube-summarizer.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-12T17:57:43.597614,
104,youtube-asr-summarize,youtube-asr-summarize.md,youtube-asr-summarize.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-12T17:59:46.827164,
105,youtube-downloader,yt-video-downloader.md,yt-video-downloader.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-12T18:03:20.609355,
106,linkedin-content,linkedin-content.md,linkedin-content.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,4.8,MEDIUM,2,1,1,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-12T18:06:51.335591,
107,apple-calendar-ops,apple-calendar-ops.md,apple-calendar-ops.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,CREDENTIAL / SECRET EXPOSURE,2026-04-12T18:11:08.601167,
108,polymarket_trader,zakkycrypt01-polymarket-trader.md,zakkycrypt01-polymarket-trader.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,CREDENTIAL / SECRET EXPOSURE,2026-04-12T23:23:14.410805,
109,solana-skill,solana-basics.md,solana-basics.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-12T23:27:42.312579,
110,cryptowallet,cryptowallet.md,cryptowallet.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,7.0,HIGH,2,3,3,1,2,COMMAND/SHELL INJECTION,2026-04-12T23:32:10.202649,
111,auto-updater,auto-updater-sxdg2.md,auto-updater-sxdg2.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PRIVILEGE ESCALATION,2026-04-12T23:36:35.599382,
