rank,skill_name,filename,skill_slug,model_name,model_slug,overall_risk,is_vulnerable,vulnerability_count,cvss_base_score,cvss_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,sars_score,sars_severity,sars_ifr,sars_dg,sars_ai,sars_br,sars_ca,top_finding_category,evaluated_at,error
13,admapix,admapix,admapix,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:19:01.333848,
14,elite-longterm-memory,elite-longterm-memory,elite-longterm-memory,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T01:30:38.234053,
15,meitu-skills,meitu-skills,meitu-skills,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T02:01:19.918621,
16,memory-setup,memory-setup,memory-setup,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:05:11.408614,
17,edgeone-clawscan,edgeone-clawscan,edgeone-clawscan,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:07:25.007022,
18,byterover,byterover,byterover,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T02:11:24.733684,
19,minara,minara,minara,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:14:28.301305,
20,ai-persona-os,ai-persona-os,ai-persona-os,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:31:27.722176,
21,browser-use,browser-use,browser-use,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T02:41:47.917371,
22,memory-manager,memory-manager,memory-manager,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:47:21.521424,
23,mx_macro_data,mx-macro-data,mx-macro-data,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T03:14:24.125287,
24,tuya-smart-control,tuya-smart-control,tuya-smart-control,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T03:23:49.831622,
25,xiaohongshu,xhs,xhs,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T03:34:11.501013,
26,discord,discord,discord,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.2,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T03:36:19.118720,
27,gog,gog,gog,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:11:01.115070,
28,freeride,free-ride,free-ride,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:33:37.199309,
29,auto-updater,auto-updater,auto-updater,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-10T00:36:57.500990,
30,nano-banana-pro,nano-banana-pro,nano-banana-pro,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T00:45:44.009927,
31,obsidian,obsidian,obsidian,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T00:59:53.343404,
32,agent-browser,agent-browser-clawdbot,agent-browser-clawdbot,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:05:51.533672,
33,Word / DOCX,word-docx,word-docx,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:12:52.509475,
34,notion,notion,notion,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,CREDENTIAL / SECRET EXPOSURE,2026-04-10T01:14:56.728812,
35,clawdhub,clawdhub,clawdhub,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,DEPENDENCY / SUPPLY CHAIN ATTACKS,2026-04-10T01:16:59.605326,
36,stock-analysis,stock-analysis,stock-analysis,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:22:55.628778,
37,caldav-calendar,caldav-calendar,caldav-calendar,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:28:35.622550,
38,mcporter,mcporter,mcporter,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:35:48.940957,
39,ecomseer,ecomseer,ecomseer,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,4,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T01:38:23.325002,
40,humanize-ai-text,humanize-ai-text,humanize-ai-text,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:40:30.916028,
41,xiaohongshu-mcp,xiaohongshu-mcp,xiaohongshu-mcp,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T01:49:10.238632,
42,ui-ux-pro-max,ui-ux-pro-max,ui-ux-pro-max,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:59:19.534860,
43,slack,slack,slack,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,SCOPE CREEP / OVER-PRIVILEGED TOOL USE,2026-04-10T02:03:06.824731,
44,playwright-mcp,playwright-mcp,playwright-mcp,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:09:21.113817,
45,moltguard,moltguard,moltguard,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T02:18:27.100608,
46,qmd,qmd,qmd,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:24:53.229591,
47,skill-finder-cn,skill-finder-cn,skill-finder-cn,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:36:57.124699,
49,Playwright (Automation + MCP + Scraper),playwright,playwright,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:45:31.109183,
50,stock-watcher,stock-watcher,stock-watcher,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:49:17.212610,
51,mx_stocks_screener,mx-stocks-screener,mx-stocks-screener,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,4.8,MEDIUM,2,1,1,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:51:03.017543,
52,filesystem,clawdbot-filesystem,clawdbot-filesystem,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T02:55:20.036356,
53,remotion-video-toolkit,remotion-video-toolkit,remotion-video-toolkit,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T03:00:51.328221,
54,gmail,gmail,gmail,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:09:00.730803,
55,a-stock-analysis,a-stock-analysis,a-stock-analysis,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T03:16:21.936456,
56,command-center,command-center,command-center,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,PRIVILEGE ESCALATION,2026-04-10T03:20:04.919484,
57,himalaya,himalaya,himalaya,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:27:56.204467,
58,mx_finance_data,mx-finance-data,mx-finance-data,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,4.1,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T03:30:50.409837,
59,agent-autonomy-kit,agent-autonomy-kit,agent-autonomy-kit,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,3.9,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:N/SC:H/SI:H/SA:N/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,AGENTIC STATE MANIPULATION,2026-04-10T03:02:47.702534,
60,nano-pdf,nano-pdf,nano-pdf,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,2,3.7,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:L/SC:N/SI:H/SA:N/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T01:20:42.217069,
61,openclaw-backup,openclaw-backup,openclaw-backup,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,3.7,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:L/SC:N/SI:H/SA:N/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,UNSAFE FILE OPERATIONS,2026-04-10T03:10:55.038504,
62,trello,trello,trello,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,3,3.6,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:N/SC:N/SI:H/SA:N/E:U,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,CREDENTIAL / SECRET EXPOSURE,2026-04-10T01:57:11.318051,
63,opencode-controller,opencode-controller,opencode-controller,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,3.6,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:N/SC:N/SI:H/SA:N/E:U,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T02:58:58.299747,
64,prompt-engineering-expert,prompt-engineering-expert,prompt-engineering-expert,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,3.6,Low,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:H/VA:N/SC:N/SI:H/SA:N/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,PROMPT INJECTION SUSCEPTIBILITY,2026-04-10T03:12:40.820181,
